,de,en,start
0," Jim, deine Quartalszahlen sehen gut aus.  ","  All right, Jim,   ",00:00:32
1, Wie läuft es mit der Bücherei?  ,  How are things going   ,00:00:36
2, Ich konnte den Vertrag nicht abschließen…  ,"  Oh, I told you.   ",00:00:38
3," Also bist du zum Meister gekommen,   um ihn um Rat zu bitten.  ",  So you've come   ,00:00:40
4," Willst du das sagen, Grashüpfer?  ",  [Chinese accent] Is this what   ,00:00:44
5," Du hast mich herbestellt,  ","  Uh, actually,   ",00:00:46
6, aber ja.  ,"  But, yeah.   ",00:00:48
7," Ok, ich zeige dir, wie man das macht.  ","  All right, well, let me   ",00:00:49
8," Ja, ich möchte Ihren Büroleiter sprechen.  ","  Yes, I'd like to speak   ",00:00:51
9," Ja, hallo, hier ist Michael Scott.  ","  Yes, hello.   ",00:00:54
10, Ich bin der Regionalmanager   von Dunder Mifflin Papierprodukte.  ,  I am the Regional Manager   ,00:00:56
11, Ich wollte mit Ihnen   von Manager zu Manager sprechen.  ,  Just wanted to talk to you   ,00:01:00
12," Ok, abgemacht.  ","  All right, done deal!   ",00:01:06
13, Vielen Dank.  ,  [Irish accent]   ,00:01:07
14, Sie sind ein echter Ehrenmann.  ,  You're gentleman   ,00:01:09
15," Oh, tut mir leid.  ","  Oh, I'm sorry.   ",00:01:13
16," Ok, tut mir leid.  ",  Okay.   ,00:01:14
17," Das war eine Frau, mit der ich sprach.  ",  That was a woman   ,00:01:19
18, Sie hatte eine sehr tiefe Stimme.  ,  So.   ,00:01:21
19, Wahrscheinlich Raucherin.  ,  Probably a smoker.   ,00:01:24
20, Also so wird das gemacht.  ,  So that's the way it's done.   ,00:01:30
21, Ich bin seit 12 Jahre bei Dunder Mifflin.  ,"  I've, uh, I've been   ",00:01:31
22, Die letzten vier als Regionalmanager.  ,  for 12 years.   ,00:01:34
23," Das ist mein Königreich,  ","  So this is my kingdom,   ",00:01:42
24, Pam!  ,  [imitating Bam-Bam]   ,00:01:48
25, Pam Beasley.  ,  Pam Beasley.   ,00:01:50
26," Pam ist schon ewig bei uns, oder?  ","  Uh, Pam has been with us,   ",00:01:51
27, Ich weiß nicht.  ,"  Right, Pam?   ",00:01:55
28," Wenn ihr sie jetzt süß findet,  ","  Well, I don't know.   ",00:01:56
29, hättet ihr sie früher sehen müssen.  ,  you should have seen her   ,00:01:58
30, Was?  ,"  Reow, reow.   ",00:02:00
31, Irgendwelche Nachrichten?  ,"  Uh, any messages?   ",00:02:02
32, Das ist von ganz oben.  ,"  Pam, this is from corporate.   ",00:02:08
